year,state,home_ownership
1984,WV,72.0
1990,WV,72.0
1995,WV,73.1
2000,WV,75.9
2005,WV,81.3
2010,WV,79.0
2015,WV,74.9
2020,WV,78.2
2023,WV,77.0
1984,FL,66.5
1990,FL,65.1
1995,FL,66.6
2000,FL,68.4
2005,FL,72.4
2010,FL,69.3
2015,FL,64.8
2020,FL,68.7
2023,FL,67.3
1984,IL,62.4
1990,IL,63.0
1995,IL,66.4
2000,IL,67.9
2005,IL,70.9
2010,IL,68.8
2015,IL,65.4
2020,IL,67.3
2023,IL,67.8
1984,MN,72.6
1990,MN,68.0
1995,MN,73.3
2000,MN,76.1
2005,MN,76.5
2010,MN,72.6
2015,MN,70.1
2020,MN,74.5
2023,MN,74.0
1984,MD,67.8
1990,MD,64.9
1995,MD,65.8
2000,MD,69.9
2005,MD,71.2
2010,MD,68.9
2015,MD,67.1
2020,MD,72.0
2023,MD,71.6
1984,RI,60.9
1990,RI,58.5
1995,RI,57.9
2000,RI,61.5
2005,RI,63.1
2010,RI,62.8
2015,RI,58.9
2020,RI,64.5
2023,RI,64.4
1984,ID,69.7
1990,ID,69.4
1995,ID,72.0
2000,ID,70.5
2005,ID,74.2
2010,ID,72.4
2015,ID,70.0
2020,ID,71.5
2023,ID,71.0
1984,NH,67.1
1990,NH,65.0
1995,NH,66.0
2000,NH,69.2
2005,NH,74.0
2010,NH,74.9
2015,NH,71.6
2020,NH,74.5
2023,NH,74.3
1984,NC,68.8
1990,NC,69.0
1995,NC,70.1
2000,NC,71.1
2005,NC,70.9
2010,NC,69.5
2015,NC,65.2
2020,NC,68.7
2023,NC,66.9
1984,VT,66.9
1990,VT,72.6
1995,VT,70.4
2000,VT,68.7
2005,VT,74.2
2010,VT,73.6
2015,VT,71.8
2020,VT,73.1
2023,VT,73.7
1984,CT,67.8
1990,CT,67.9
1995,CT,68.2
2000,CT,70.0
2005,CT,70.5
2010,CT,70.8
2015,CT,66.5
2020,CT,66.9
2023,CT,68.2
1984,DE,70.4
1990,DE,67.7
1995,DE,71.7
2000,DE,72.0
2005,DE,75.8
2010,DE,74.7
2015,DE,73.3
2020,DE,77.9
2023,DE,75.7
1984,NM,68.0
1990,NM,68.6
1995,NM,67.0
2000,NM,73.7
2005,NM,71.4
2010,NM,68.6
2015,NM,66.5
2020,NM,70.3
2023,NM,70.3
1984,CA,53.7
1990,CA,53.8
1995,CA,55.4
2000,CA,57.1
2005,CA,59.7
2010,CA,56.1
2015,CA,54.3
2020,CA,55.9
2023,CA,55.8
1984,NJ,63.4
1990,NJ,65.0
1995,NJ,64.9
2000,NJ,66.2
2005,NJ,70.1
2010,NJ,66.5
2015,NJ,64.0
2020,NJ,64.3
2023,NJ,62.7
1984,WI,65.2
1990,WI,68.3
1995,WI,67.5
2000,WI,71.8
2005,WI,71.1
2010,WI,71.0
2015,WI,66.6
2020,WI,67.9
2023,WI,69.2
1984,OR,61.9
1990,OR,64.4
1995,OR,63.2
2000,OR,65.3
2005,OR,68.2
2010,OR,66.3
2015,OR,61.1
2020,OR,65.2
2023,OR,64.1
1984,NE,69.3
1990,NE,67.3
1995,NE,67.1
2000,NE,70.2
2005,NE,70.2
2010,NE,70.4
2015,NE,68.1
2020,NE,69.8
2023,NE,68.4
1984,PA,71.1
1990,PA,73.8
1995,PA,71.5
2000,PA,74.7
2005,PA,73.3
2010,PA,72.2
2015,PA,69.6
2020,PA,69.9
2023,PA,71.0
1984,WA,65.7
1990,WA,61.8
1995,WA,61.6
2000,WA,63.6
2005,WA,67.6
2010,WA,64.4
2015,WA,62.6
2020,WA,64.1
2023,WA,66.3
1984,LA,70.1
1990,LA,67.8
1995,LA,65.3
2000,LA,68.1
2005,LA,72.5
2010,LA,70.4
2015,LA,63.3
2020,LA,69.1
2023,LA,67.3
1984,GA,63.6
1990,GA,64.3
1995,GA,66.6
2000,GA,69.8
2005,GA,67.9
2010,GA,67.1
2015,GA,62.9
2020,GA,67.3
2023,GA,65.5
1984,AL,73.7
1990,AL,68.4
1995,AL,70.1
2000,AL,73.2
2005,AL,76.6
2010,AL,73.2
2015,AL,70.0
2020,AL,74.8
2023,AL,73.8
1984,UT,69.9
1990,UT,70.1
1995,UT,71.5
2000,UT,72.7
2005,UT,73.9
2010,UT,72.5
2015,UT,69.9
2020,UT,71.7
2023,UT,70.3
1984,OH,67.7
1990,OH,68.7
1995,OH,67.9
2000,OH,71.3
2005,OH,73.3
2010,OH,69.7
2015,OH,66.4
2020,OH,69.4
2023,OH,66.6
1984,TX,62.5
1990,TX,59.7
1995,TX,61.4
2000,TX,63.8
2005,TX,65.9
2010,TX,65.3
2015,TX,61.9
2020,TX,66.5
2023,TX,63.6
1984,CO,64.7
1990,CO,59.0
1995,CO,64.6
2000,CO,68.3
2005,CO,71.0
2010,CO,68.5
2015,CO,63.6
2020,CO,64.9
2023,CO,67.2
1984,SC,69.1
1990,SC,71.4
1995,SC,71.3
2000,SC,76.5
2005,SC,73.9
2010,SC,74.8
2015,SC,67.1
2020,SC,73.6
2023,SC,73.0
1984,OK,71.0
1990,OK,70.3
1995,OK,69.8
2000,OK,72.7
2005,OK,72.9
2010,OK,69.2
2015,OK,67.4
2020,OK,71.0
2023,OK,68.0
1984,TN,67.6
1990,TN,68.3
1995,TN,67.0
