year,state,home_ownership
1984,WV,72.0
1985,WV,75.9
1986,WV,76.4
1987,WV,72.5
1988,WV,73.2
1989,WV,74.8
1990,WV,72.0
1991,WV,72.4
1992,WV,73.3
1993,WV,73.3
1994,WV,73.7
1995,WV,73.1
1996,WV,74.3
1997,WV,74.6
1998,WV,74.8
1999,WV,74.8
2000,WV,75.9
2001,WV,76.4
2002,WV,77.2
2003,WV,78.1
2004,WV,80.3
2005,WV,81.3
2006,WV,78.4
2007,WV,77.6
2008,WV,77.8
2009,WV,78.7
2010,WV,79.0
2011,WV,78.7
2012,WV,75.8
2013,WV,76.8
2014,WV,75.6
2015,WV,74.9
2016,WV,74.8
2017,WV,75.1
2018,WV,74.7
2019,WV,75.6
2020,WV,78.2
2021,WV,79.0
2022,WV,78.6
2023,WV,77.0
1984,FL,66.5
1985,FL,67.2
1986,FL,66.5
1987,FL,66.3
1988,FL,64.9
1989,FL,64.4
1990,FL,65.1
1991,FL,66.1
1992,FL,66.0
1993,FL,65.5
1994,FL,65.7
1995,FL,66.6
1996,FL,67.1
1997,FL,66.9
1998,FL,66.9
1999,FL,67.6
2000,FL,68.4
2001,FL,69.2
2002,FL,68.7
2003,FL,69.5
2004,FL,72.2
2005,FL,72.4
2006,FL,72.4
2007,FL,71.8
2008,FL,71.1
2009,FL,70.9
2010,FL,69.3
2011,FL,69.0
2012,FL,67.0
2013,FL,66.1
2014,FL,64.9
2015,FL,64.8
2016,FL,64.3
2017,FL,64.1
2018,FL,65.5
2019,FL,66.0
2020,FL,68.7
2021,FL,67.2
2022,FL,67.3
2023,FL,67.3
1984,IL,62.4
1985,IL,60.6
1986,IL,60.9
1987,IL,61.0
1988,IL,61.4
1989,IL,61.9
1990,IL,63.0
1991,IL,63.0
1992,IL,62.4
1993,IL,61.8
1994,IL,64.2
1995,IL,66.4
1996,IL,68.2
1997,IL,68.1
1998,IL,68.0
1999,IL,67.1
2000,IL,67.9
2001,IL,69.4
2002,IL,70.1
2003,IL,70.7
2004,IL,72.7
2005,IL,70.9
2006,IL,70.4
2007,IL,69.4
2008,IL,68.9
2009,IL,69.1
2010,IL,68.8
2011,IL,68.4
2012,IL,66.8
2013,IL,67.2
2014,IL,66.4
2015,IL,65.4
2016,IL,65.3
2017,IL,65.4
2018,IL,66.0
2019,IL,65.1
2020,IL,67.3
2021,IL,68.3
2022,IL,66.7
2023,IL,67.8
1984,MN,72.6
1985,MN,70.0
1986,MN,68.0
1987,MN,68.9
1988,MN,69.1
1989,MN,68.3
1990,MN,68.0
1991,MN,68.9
1992,MN,66.7
1993,MN,65.8
1994,MN,68.9
1995,MN,73.3
1996,MN,75.4
1997,MN,75.4
1998,MN,75.4
1999,MN,76.1
2000,MN,76.1
2001,MN,76.1
2002,MN,77.3
2003,MN,77.2
2004,MN,76.4
2005,MN,76.5
2006,MN,75.6
2007,MN,73.5
2008,MN,73.1
2009,MN,72.9
2010,MN,72.6
2011,MN,71.3
2012,MN,72.0
2013,MN,73.4
2014,MN,71.4
2015,MN,70.1
2016,MN,72.4
2017,MN,72.7
2018,MN,69.8
2019,MN,71.4
2020,MN,74.5
2021,MN,75.6
2022,MN,75.1
2023,MN,74.0
1984,MD,67.8
1985,MD,65.6
1986,MD,62.8
1987,MD,62.7
1988,MD,63.5
1989,MD,65.5
1990,MD,64.9
1991,MD,63.8
1992,MD,64.8
1993,MD,65.5
1994,MD,64.1
1995,MD,65.8
1996,MD,66.9
1997,MD,70.5
1998,MD,68.7
1999,MD,69.6
2000,MD,69.9
2001,MD,70.7
2002,MD,72.0
2003,MD,71.6
2004,MD,72.1
2005,MD,71.2
2006,MD,72.6
2007,MD,71.7
2008,MD,70.6
2009,MD,69.6
2010,MD,68.9
2011,MD,69.7
2012,MD,68.5
2013,MD,66.9
2014,MD,66.2
2015,MD,67.1
2016,MD,66.5
2017,MD,66.9
2018,MD,66.6
2019,MD,68.8
2020,MD,72.0
2021,MD,69.7
2022,MD,71.8
2023,MD,71.6
1984,RI,60.9
1985,RI,61.4
1986,RI,62.2
1987,RI,60.4
1988,RI,62.0
1989,RI,61.2
1990,RI,58.5
1991,RI,58.2
1992,RI,56.8
1993,RI,57.6
1994,RI,56.5
1995,RI,57.9
1996,RI,56.6
1997,RI,58.7
1998,RI,59.8
1999,RI,60.6
2000,RI,61.5
2001,RI,60.1
2002,RI,59.4
2003,RI,59.9
2004,RI,61.5
2005,RI,63.1
2006,RI,64.6
2007,RI,64.9
2008,RI,64.5
2009,RI,62.9
2010,RI,62.8
2011,RI,63.4
2012,RI,62.1
2013,RI,61.5
2014,RI,61.8
2015,RI,58.9
2016,RI,56.3
2017,RI,56.6
2018,RI,60.7
2019,RI,63.8
2020,RI,64.5
2021,RI,62.8
2022,RI,65.8
2023,RI,64.4
1984,ID,69.7
1985,ID,71.0
1986,ID,69.8
1987,ID,71.6
1988,ID,71.5
1989,ID,70.2
1990,ID,69.4
1991,ID,68.4
1992,ID,70.3
1993,ID,72.1
1994,ID,70.7
1995,ID,72.0
1996,ID,71.4
1997,ID,72.3
1998,ID,72.6
1999,ID,70.3
2000,ID,70.5
2001,ID,71.7
2002,ID,73.0
2003,ID,74.4
2004,ID,73.7
2005,ID,74.2
2006,ID,75.1
2007,ID,74.5
2008,ID,75.0
2009,ID,75.5
2010,ID,72.4
2011,ID,72.4
2012,ID,73.0
2013,ID,71.5
2014,ID,69.6
2015,ID,70.0
2016,ID,70.5
2017,ID,69.9
2018,ID,69.2
2019,ID,70.6
2020,ID,71.5
2021,ID,71.0
2022,ID,71.3
2023,ID,71.0
1984,NH,67.1
1985,NH,65.5
1986,NH,64.8
1987,NH,66.4
1988,NH,67.9
1989,NH,67.0
1990,NH,65.0
1991,NH,66.8
1992,NH,66.6
1993,NH,65.4
1994,NH,65.1
1995,NH,66.0
1996,NH,65.0
1997,NH,66.8
1998,NH,69.6
1999,NH,70.2
2000,NH,69.2
2001,NH,68.4
2002,NH,69.5
2003,NH,74.4
2004,NH,73.3
2005,NH,74.0
2006,NH,74.2
2007,NH,73.8
2008,NH,75.0
